Street,City,District,State,SALE_YEAR,area,zoning,latitude,longitude,waterApplicable,waterDistance,roadApplicable,roadDistance,schoolApplicable,schoolDistance,railwayApplicable,railwayDistance,busApplicable,busDistance,price,past_prices
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2024,0.6162,Conservation,8.813,78.1341,applicable,1.09,notApplicable,0.0,applicable,1.44,applicable,2.61,applicable,2.12,533300.0,"[1337100.0, 3044100.0, 9471400.0, 285400.0, 30435200.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,2.1172,Residential,10.4508,77.5148,applicable,5.05,notApplicable,0.0,applicable,3.32,applicable,4.46,notApplicable,0.0,67869300.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2023,6.0749,Residential,11.349,77.6951,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,applicable,5.46,34594300.0,"[94500.0, 455300.0, 148700.0, 335400.0, 39400.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,2.3017,Agricultural,11.0175,76.9725,applicable,5.72,applicable,2.65,applicable,5.04,notApplicable,0.0,applicable,2.93,3386000.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2022,0.4234,Commercial,10.4508,77.5148,applicable,3.47,applicable,1.46,applicable,4.26,applicable,4.65,applicable,1.17,13568500.0,"[1180700.0, 2830800.0, 291000.0, 488200.0, 50925300.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2023,6.0641,Residential,12.9834,80.259,applicable,0.79,applicable,4.68,applicable,5.13,notApplicable,0.0,applicable,3.68,42756000.0,"[964500.0, 12154600.0, 507200.0, 352500.0, 52013100.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,0.0846,Agricultural,9.4523,77.5533,notApplicable,0.0,notApplicable,0.0,applicable,5.01,notApplicable,0.0,applicable,4.3,114300.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,1.662,Conservation,11.0616,76.9366,applicable,4.55,applicable,3.51,notApplicable,0.0,applicable,4.08,applicable,2.15,1592900.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,1.0105,Residential,9.9677,78.1653,applicable,3.42,applicable,1.59,applicable,2.96,applicable,4.33,applicable,2.8,4184000.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,1.3723,Residential,10.9979,76.9994,applicable,1.66,applicable,0.9,applicable,1.32,notApplicable,0.0,applicable,0.89,10468800.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,1.5869,Residential,8.813,78.1341,notApplicable,0.0,notApplicable,0.0,applicable,4.31,applicable,0.93,applicable,0.46,7956300.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2024,0.9265,Residential,10.9979,76.9994,applicable,2.52,applicable,0.63,notApplicable,0.0,applicable,3.85,notApplicable,0.0,6219300.0,"[28982900.0, 2522000.0, 76780500.0, 1959500.0, 211100.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2023,0.2369,Conservation,12.9791,80.2209,notApplicable,0.0,applicable,2.69,notApplicable,0.0,applicable,3.5,applicable,0.55,379000.0,"[189200.0, 10473500.0, 47400.0, 76037300.0, 2009200.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2022,0.1784,Residential,12.9834,80.259,applicable,4.3,applicable,4.28,applicable,2.83,applicable,4.19,applicable,5.56,964500.0,"[16947000.0, 7612200.0, 17031200.0, 904700.0, 15150000.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2022,0.3406,Conservation,11.0175,76.9725,applicable,1.87,applicable,0.92,applicable,4.19,notApplicable,0.0,applicable,4.26,364800.0,"[146100.0, 30568900.0, 3386000.0, 189000.0, 1281900.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2024,1.8341,Conservation,8.7139,77.7567,applicable,0.32,applicable,4.64,notApplicable,0.0,notApplicable,0.0,applicable,4.96,1664700.0,"[64300.0, 1336400.0, 731500.0, 1127400.0, 21164800.0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2024,7.9817,Residential,8.813,78.1341,applicable,4.09,applicable,5.17,applicable,2.11,applicable,4.22,applicable,1.87,29081400.0,"[1337100.0, 3044100.0, 9471400.0, 285400.0, 30435200.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2021,7.8211,Conservation,9.921,78.1197,notApplicable,0.0,notApplicable,0.0,applicable,0.51,notApplicable,0.0,applicable,3.21,8893600.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2021,4.6287,Industrial,11.349,77.6951,applicable,3.39,notApplicable,0.0,notApplicable,0.0,applicable,3.4,applicable,0.74,25944300.0,"[0, 0, 0, 0, 0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2021,1.899,Industrial,12.9834,80.259,applicable,1.31,applicable,3.68,applicable,4.53,applicable,0.99,applicable,0.6,16947000.0,"[0, 0, 0, 0, 0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2023,1.7308,Industrial,9.921,78.1197,notApplicable,0.0,applicable,3.01,notApplicable,0.0,notApplicable,0.0,applicable,2.13,13126300.0,"[1217400.0, 5297300.0, 867300.0, 637900.0, 19826500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2023,4.2978,Industrial,9.924,78.135,applicable,4.05,applicable,4.96,notApplicable,0.0,notApplicable,0.0,applicable,5.89,26585100.0,"[821700.0, 733500.0, 625700.0, 1934700.0, 540500.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,0.1451,Residential,10.4508,77.5148,applicable,1.1,applicable,2.92,notApplicable,0.0,applicable,5.82,applicable,2.16,4465700.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2025,0.0632,Commercial,9.921,78.1197,applicable,0.72,applicable,5.87,notApplicable,0.0,applicable,4.61,applicable,4.28,541800.0,"[11982900.0, 1694300.0, 222800.0, 11382600.0, 329800.0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,0.4287,Commercial,12.9791,80.2209,applicable,3.74,applicable,2.42,notApplicable,0.0,applicable,4.16,applicable,3.09,4480300.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2023,1.8484,Industrial,11.0183,76.997,applicable,3.91,applicable,2.66,applicable,1.65,applicable,5.1,applicable,1.36,11703200.0,"[927400.0, 7279800.0, 9981500.0, 14718500.0, 119400.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2022,0.0634,Agricultural,11.349,77.6951,notApplicable,0.0,applicable,4.52,applicable,0.48,notApplicable,0.0,applicable,3.72,94500.0,"[25944300.0, 428400.0, 482600.0, 3404100.0, 1184000.0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2025,0.2267,Residential,10.9979,76.9994,applicable,3.56,notApplicable,0.0,notApplicable,0.0,applicable,4.45,applicable,0.72,1500800.0,"[10468800.0, 6219300.0, 2222100.0, 21552800.0, 9695700.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,1.8147,Industrial,11.0616,76.9366,notApplicable,0.0,applicable,4.53,notApplicable,0.0,applicable,2.16,notApplicable,0.0,14909900.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2022,1.9699,Residential,12.9834,80.259,applicable,4.54,applicable,1.72,applicable,2.41,applicable,3.9,applicable,2.35,12154600.0,"[16947000.0, 7612200.0, 17031200.0, 904700.0, 15150000.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2025,0.1338,Agricultural,11.349,77.6951,applicable,0.46,applicable,0.42,notApplicable,0.0,notApplicable,0.0,applicable,5.98,243100.0,"[211600.0, 1723100.0, 70300.0, 8785600.0, 5728200.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2022,6.1789,Conservation,11.0183,76.997,applicable,3.77,applicable,5.65,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,7279800.0,"[1821200.0, 2196700.0, 12626700.0, 9188700.0, 926300.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2022,1.7832,Commercial,11.0616,76.9366,applicable,0.91,notApplicable,0.0,applicable,5.12,applicable,2.84,applicable,4.04,16183000.0,"[2199400.0, 364900.0, 65164200.0, 4100200.0, 409200.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,0.1202,Agricultural,9.4523,77.5533,notApplicable,0.0,applicable,4.69,applicable,4.77,notApplicable,0.0,applicable,3.66,135500.0,"[0, 0, 0, 0, 0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2025,0.0451,Residential,12.9791,80.2209,applicable,0.94,applicable,2.64,applicable,0.86,applicable,0.57,applicable,2.8,385300.0,"[812200.0, 9988300.0, 4656600.0, 1015900.0, 4699100.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2024,0.565,Agricultural,9.4523,77.5533,applicable,4.18,notApplicable,0.0,applicable,3.04,applicable,5.48,applicable,0.63,657000.0,"[114300.0, 557600.0, 15608400.0, 23139700.0, 500900.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,6.2729,Residential,9.4523,77.5533,notApplicable,0.0,applicable,4.27,applicable,5.15,notApplicable,0.0,applicable,3.98,22986900.0,"[0, 0, 0, 0, 0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2024,4.721,Residential,11.0616,76.9366,notApplicable,0.0,applicable,4.18,applicable,2.95,applicable,0.73,notApplicable,0.0,30806700.0,"[1762300.0, 1592900.0, 400900.0, 1550000.0, 49100500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2023,1.3797,Agricultural,9.924,78.135,applicable,5.51,applicable,0.5,notApplicable,0.0,notApplicable,0.0,applicable,1.87,2592100.0,"[821700.0, 733500.0, 625700.0, 1934700.0, 540500.0]"
"East Coast Rd, Thiruvanmiyur",Chennai,Chennai,Tamil Nadu,2025,0.8364,Conservation,12.9834,80.259,applicable,4.65,applicable,3.81,applicable,4.11,applicable,3.43,applicable,3.73,903900.0,"[1082700.0, 2731200.0, 52497700.0, 5410100.0, 14039900.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2021,0.0353,Commercial,11.0616,76.9366,applicable,5.84,applicable,0.73,notApplicable,0.0,applicable,3.28,notApplicable,0.0,364900.0,"[0, 0, 0, 0, 0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2022,0.0618,Commercial,11.349,77.6951,notApplicable,0.0,applicable,2.77,notApplicable,0.0,applicable,2.66,applicable,3.72,455300.0,"[25944300.0, 428400.0, 482600.0, 3404100.0, 1184000.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2021,1.5173,Conservation,11.0183,76.997,applicable,1.43,applicable,1.0,applicable,1.68,applicable,2.1,applicable,0.24,1821200.0,"[0, 0, 0, 0, 0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2024,1.3381,Residential,12.9791,80.2209,applicable,5.2,notApplicable,0.0,applicable,3.54,applicable,3.53,notApplicable,0.0,9988300.0,"[379000.0, 3141200.0, 326500.0, 7256100.0, 46031100.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2021,7.6857,Commercial,9.924,78.135,notApplicable,0.0,notApplicable,0.0,applicable,3.62,notApplicable,0.0,applicable,3.24,69877900.0,"[0, 0, 0, 0, 0]"
"Trichy Rd, Singanallur",Coimbatore,Coimbatore,Tamil Nadu,2022,0.2088,Commercial,10.9979,76.9994,notApplicable,0.0,applicable,1.57,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,2814500.0,"[303400.0, 1319200.0, 1369900.0, 26184100.0, 1205300.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2025,7.7078,Residential,11.0183,76.997,applicable,3.93,applicable,5.92,applicable,2.07,notApplicable,0.0,notApplicable,0.0,50717000.0,"[8301200.0, 222900.0, 5292400.0, 59415000.0, 622800.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,0.0196,Residential,9.9677,78.1653,applicable,1.87,applicable,3.94,applicable,5.87,applicable,0.72,applicable,3.65,91200.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2021,3.9292,Conservation,9.4523,77.5533,applicable,5.9,notApplicable,0.0,applicable,0.69,notApplicable,0.0,notApplicable,0.0,3420700.0,"[0, 0, 0, 0, 0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2024,1.4147,Residential,10.4508,77.5148,applicable,2.14,applicable,2.11,notApplicable,0.0,applicable,3.44,applicable,2.44,44925200.0,"[64681100.0, 241700.0, 44019300.0, 6392900.0, 43591700.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2023,3.8614,Residential,9.4523,77.5533,applicable,2.11,applicable,0.94,applicable,4.28,notApplicable,0.0,applicable,5.69,15608400.0,"[473200.0, 907600.0, 9940800.0, 17000.0, 6568100.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2024,0.9633,Agricultural,8.7139,77.7567,notApplicable,0.0,applicable,5.1,applicable,0.79,applicable,4.67,applicable,5.04,1252200.0,"[64300.0, 1336400.0, 731500.0, 1127400.0, 21164800.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,0.2819,Commercial,10.4508,77.5148,notApplicable,0.0,applicable,3.74,applicable,4.56,notApplicable,0.0,notApplicable,0.0,8531600.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2024,5.4225,Commercial,11.0183,76.997,applicable,4.94,applicable,4.85,applicable,1.0,notApplicable,0.0,notApplicable,0.0,59415000.0,"[11703200.0, 548800.0, 2089600.0, 2376800.0, 4877100.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2023,1.7688,Industrial,11.0175,76.9725,applicable,0.73,applicable,5.48,applicable,4.94,notApplicable,0.0,notApplicable,0.0,14300700.0,"[364800.0, 101200.0, 5022900.0, 1292200.0, 319400.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2021,0.2809,Industrial,10.4508,77.5148,applicable,1.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,notApplicable,0.0,2830800.0,"[0, 0, 0, 0, 0]"
Simmakkal,Madurai,Madurai,Tamil Nadu,2022,0.1162,Industrial,9.921,78.1197,applicable,0.84,notApplicable,0.0,applicable,1.87,notApplicable,0.0,applicable,1.95,867300.0,"[8893600.0, 8712000.0, 6309500.0, 226700.0, 3192500.0]"
Bypass Rd,Madurai,Madurai,Tamil Nadu,2024,0.4428,Conservation,9.924,78.135,notApplicable,0.0,applicable,1.29,applicable,4.08,applicable,3.24,applicable,2.29,429900.0,"[15115400.0, 26585100.0, 2592100.0, 2977200.0, 25018100.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2025,1.2052,Conservation,8.7139,77.7567,applicable,3.84,applicable,4.67,notApplicable,0.0,applicable,4.46,notApplicable,0.0,955300.0,"[1664700.0, 1252200.0, 112000.0, 32276700.0, 930400.0]"
"Dindigul Rd, Palani",Palani,Dindigul,Tamil Nadu,2025,6.1081,Commercial,10.4508,77.5148,applicable,1.9,notApplicable,0.0,applicable,0.45,notApplicable,0.0,applicable,1.36,210660000.0,"[67869300.0, 103542900.0, 44925200.0, 3078900.0, 472800.0]"
"NH 44, Tirunelveli",Tirunelveli,Tirunelveli,Tamil Nadu,2025,0.0763,Industrial,8.7139,77.7567,notApplicable,0.0,applicable,4.51,applicable,5.39,applicable,2.44,notApplicable,0.0,435800.0,"[1664700.0, 1252200.0, 112000.0, 32276700.0, 930400.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2023,0.1394,Industrial,11.349,77.6951,applicable,2.1,notApplicable,0.0,applicable,1.91,applicable,2.79,applicable,4.36,709100.0,"[94500.0, 455300.0, 148700.0, 335400.0, 39400.0]"
"Sathyamangalam Rd, Edayarpalayam",Erode,Erode,Tamil Nadu,2024,1.0288,Commercial,11.349,77.6951,applicable,3.18,applicable,4.55,applicable,1.13,notApplicable,0.0,applicable,0.38,8785600.0,"[34594300.0, 709100.0, 364400.0, 282100.0, 42800.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2021,0.0277,Industrial,11.0175,76.9725,applicable,3.53,applicable,3.27,notApplicable,0.0,applicable,2.51,notApplicable,0.0,189000.0,"[0, 0, 0, 0, 0]"
"Avinashi Rd, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,2021,1.0805,Agricultural,11.0183,76.997,notApplicable,0.0,applicable,5.99,applicable,1.36,notApplicable,0.0,applicable,0.99,2196700.0,"[0, 0, 0, 0, 0]"
"100 Feet Rd, Velachery",Chennai,Chennai,Tamil Nadu,2021,0.1235,Industrial,12.9791,80.2209,applicable,4.26,applicable,1.21,applicable,2.3,applicable,1.5,notApplicable,0.0,1136800.0,"[0, 0, 0, 0, 0]"
Ettayapuram Rd,Thoothukudi,Thoothukudi,Tamil Nadu,2022,0.1592,Residential,8.813,78.1341,applicable,3.25,applicable,4.66,applicable,4.98,notApplicable,0.0,notApplicable,0.0,631000.0,"[381400.0, 24209200.0, 9471000.0, 3488900.0, 1032100.0]"
Alagarkoil Rd,Madurai,Madurai,Tamil Nadu,2024,0.3311,Agricultural,9.9677,78.1653,notApplicable,0.0,applicable,3.2,applicable,1.96,notApplicable,0.0,notApplicable,0.0,633300.0,"[4168000.0, 802400.0, 26200.0, 533700.0, 2412900.0]"
MTP Rd,Coimbatore,Coimbatore,Tamil Nadu,2023,0.3316,Residential,11.0616,76.9366,applicable,3.11,applicable,1.18,applicable,5.66,applicable,1.09,applicable,4.02,1762300.0,"[318200.0, 14909900.0, 818600.0, 16183000.0, 10593000.0]"
Rajapalayam Rd,Virudhunagar,Virudhunagar,Tamil Nadu,2025,0.6218,Commercial,9.4523,77.5533,applicable,3.84,applicable,1.88,applicable,5.75,notApplicable,0.0,applicable,3.0,4072000.0,"[657000.0, 1433100.0, 1492000.0, 32180200.0, 6552200.0]"
Gandhipuram Cross Cut,Coimbatore,Coimbatore,Tamil Nadu,2023,4.4937,Industrial,11.0175,76.9725,applicable,5.19,applicable,5.86,applicable,0.96,notApplicable,0.0,notApplicable,0.0,35211300.0,"[364800.0, 101200.0, 5022900.0, 1292200.0, 319400.0]"
